#                  BLOCK:   ACTUAL_KE:          KE_AVE:             ERROR:
                 358               1.224             1.16588           0.0240791
                 359             1.22491             1.16604           0.0240126
                 360             1.22578             1.16621           0.0239465
                 361             1.22659             1.16637           0.0238807
                 362             1.22734             1.16654           0.0238153
                 363             1.22804             1.16671           0.0237503
                 364             1.22868             1.16688           0.0236857
                 365             1.22927             1.16705           0.0236214
                 366              1.2298             1.16722           0.0235575
                 367             1.23028              1.1674           0.0234939
                 368              1.2307             1.16757           0.0234307
                 369             1.23107             1.16774           0.0233679
                 370             1.23139             1.16791           0.0233053
                 371             1.23166             1.16808           0.0232432
                 372             1.23187             1.16825           0.0231813
                 373             1.23203             1.16843           0.0231198
                 374             1.23215              1.1686           0.0230586
                 375             1.23221             1.16877           0.0229977
                 376             1.23222             1.16893           0.0229372
                 377             1.23219              1.1691            0.022877
                 378             1.23211             1.16927            0.022817
                 379             1.23198             1.16943           0.0227574
                 380             1.23181              1.1696           0.0226981
                 381             1.23159             1.16976           0.0226392
                 382             1.23132             1.16992           0.0225805
                 383             1.23101             1.17008           0.0225221
                 384             1.23066             1.17024            0.022464
                 385             1.23026              1.1704           0.0224062
                 386             1.22982             1.17055           0.0223486
                 387             1.22934              1.1707           0.0222914
                 388             1.22882             1.17085           0.0222345
                 389             1.22826               1.171           0.0221778
                 390             1.22766             1.17114           0.0221214
                 391             1.22702             1.17129           0.0220653
                 392             1.22634             1.17143           0.0220094
                 393             1.22562             1.17157           0.0219539
                 394             1.22486              1.1717           0.0218986
                 395             1.22407             1.17183           0.0218435
                 396             1.22324             1.17196           0.0217888
                 397             1.22237             1.17209           0.0217342
                 398             1.22147             1.17221             0.02168
                 399             1.22054             1.17234            0.021626
                 400             1.21957             1.17245           0.0215723
                 401             1.21857             1.17257           0.0215188
                 402             1.21754             1.17268           0.0214655
                 403             1.21647             1.17279           0.0214125
                 404             1.21538             1.17289           0.0213598
                 405             1.21425               1.173           0.0213073
                 406             1.21309              1.1731            0.021255
                 407              1.2119             1.17319            0.021203
                 408             1.21069             1.17328           0.0211513
                 409             1.20944             1.17337           0.0210997
                 410             1.20816             1.17346           0.0210484
                 411             1.20686             1.17354           0.0209974
                 412             1.20554             1.17361           0.0209466
                 413             1.20419             1.17369            0.020896
                 414             1.20281             1.17376           0.0208456
                 415             1.20141             1.17383           0.0207955
                 416             1.19998             1.17389           0.0207456
                 417             1.19853             1.17395           0.0206959
                 418             1.19706               1.174           0.0206465
                 419             1.19556             1.17405           0.0205973
                 420             1.19405              1.1741           0.0205483
                 421             1.19251             1.17415           0.0204995
                 422             1.19094             1.17419            0.020451
                 423             1.18936             1.17422           0.0204027
                 424             1.18776             1.17425           0.0203546
                 425             1.18614             1.17428           0.0203067
                 426             1.18449             1.17431           0.0202591
                 427             1.18283             1.17433           0.0202116
                 428             1.18115             1.17434           0.0201644
                 429             1.17946             1.17435           0.0201174
                 430             1.17775             1.17436           0.0200706
                 431             1.17603             1.17436           0.0200241
                 432             1.17429             1.17436           0.0199777
                 433             1.17254             1.17436           0.0199316
                 434             1.17077             1.17435           0.0198856
                 435               1.169             1.17434           0.0198399
                 436             1.16721             1.17432           0.0197944
                 437             1.16541              1.1743           0.0197492
                 438              1.1636             1.17428           0.0197041
                 439             1.16179             1.17425           0.0196592
                 440             1.15997             1.17422           0.0196146
                 441             1.15814             1.17418           0.0195701
                 442             1.15631             1.17414           0.0195259
                 443             1.15448              1.1741           0.0194819
                 444             1.15264             1.17405            0.019438
                 445              1.1508               1.174           0.0193944
                 446             1.14896             1.17394            0.019351
                 447             1.14712             1.17388           0.0193078
                 448             1.14528             1.17382           0.0192648
                 449             1.14345             1.17375            0.019222
                 450             1.14162             1.17368           0.0191795
                 451              1.1398              1.1736           0.0191371
                 452             1.13799             1.17352           0.0190949
                 453             1.13618             1.17344           0.0190529
                 454             1.13439             1.17335           0.0190112
                 455             1.13261             1.17327           0.0189696
                 456             1.13084             1.17317           0.0189282
                 457             1.12909             1.17308            0.018887
                 458             1.12735             1.17298           0.0188461
                 459             1.12563             1.17287           0.0188053
                 460             1.12392             1.17277           0.0187647
