#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                 202       -5.458321e+00       -5.475388e+00        1.711895e-03
                 203       -5.457997e+00       -5.475303e+00        1.705604e-03
                 204       -5.457673e+00       -5.475216e+00        1.699432e-03
                 205       -5.457349e+00       -5.475129e+00        1.693375e-03
                 206       -5.457349e+00       -5.475043e+00        1.687353e-03
                 207       -5.457348e+00       -5.474957e+00        1.681366e-03
                 208       -5.457996e+00       -5.474876e+00        1.675258e-03
                 209       -5.457995e+00       -5.474795e+00        1.669189e-03
                 210       -5.458319e+00       -5.474716e+00        1.663083e-03
                 211       -5.458319e+00       -5.474639e+00        1.657016e-03
                 212       -5.458966e+00       -5.474565e+00        1.650848e-03
                 213       -5.458642e+00       -5.474490e+00        1.644789e-03
                 214       -5.458966e+00       -5.474417e+00        1.638702e-03
                 215       -5.458966e+00       -5.474346e+00        1.632656e-03
                 216       -5.459613e+00       -5.474277e+00        1.626521e-03
                 217       -5.459613e+00       -5.474210e+00        1.620429e-03
                 218       -5.459289e+00       -5.474141e+00        1.614441e-03
                 219       -5.459612e+00       -5.474075e+00        1.608431e-03
                 220       -5.459612e+00       -5.474009e+00        1.602463e-03
                 221       -5.459935e+00       -5.473946e+00        1.596477e-03
                 222       -5.459288e+00       -5.473880e+00        1.590651e-03
                 223       -5.459611e+00       -5.473816e+00        1.584804e-03
                 224       -5.459287e+00       -5.473751e+00        1.579056e-03
                 225       -5.459287e+00       -5.473686e+00        1.573346e-03
                 226       -5.459611e+00       -5.473624e+00        1.567616e-03
                 227       -5.459610e+00       -5.473562e+00        1.561926e-03
                 228       -5.459610e+00       -5.473501e+00        1.556273e-03
                 229       -5.459934e+00       -5.473442e+00        1.550605e-03
                 230       -5.459934e+00       -5.473383e+00        1.544975e-03
                 231       -5.459610e+00       -5.473324e+00        1.539437e-03
                 232       -5.459934e+00       -5.473266e+00        1.533883e-03
                 233       -5.460257e+00       -5.473210e+00        1.528315e-03
                 234       -5.459933e+00       -5.473153e+00        1.522837e-03
                 235       -5.459933e+00       -5.473097e+00        1.517395e-03
                 236       -5.459933e+00       -5.473041e+00        1.511991e-03
                 237       -5.460257e+00       -5.472987e+00        1.506573e-03
                 238       -5.460257e+00       -5.472934e+00        1.501192e-03
                 239       -5.460256e+00       -5.472881e+00        1.495848e-03
                 240       -5.460904e+00       -5.472831e+00        1.490447e-03
                 241       -5.461551e+00       -5.472784e+00        1.484997e-03
                 242       -5.461875e+00       -5.472739e+00        1.479545e-03
                 243       -5.461551e+00       -5.472693e+00        1.474173e-03
                 244       -5.461874e+00       -5.472649e+00        1.468798e-03
                 245       -5.462198e+00       -5.472606e+00        1.463422e-03
                 246       -5.462198e+00       -5.472564e+00        1.458085e-03
                 247       -5.462198e+00       -5.472522e+00        1.452785e-03
                 248       -5.462198e+00       -5.472480e+00        1.447523e-03
                 249       -5.462521e+00       -5.472440e+00        1.442263e-03
                 250       -5.462845e+00       -5.472402e+00        1.437004e-03
                 251       -5.462844e+00       -5.472364e+00        1.431783e-03
                 252       -5.462521e+00       -5.472325e+00        1.426634e-03
                 253       -5.462197e+00       -5.472285e+00        1.421557e-03
                 254       -5.462521e+00       -5.472246e+00        1.416480e-03
                 255       -5.462844e+00       -5.472209e+00        1.411405e-03
                 256       -5.463492e+00       -5.472175e+00        1.406302e-03
                 257       -5.463492e+00       -5.472141e+00        1.401236e-03
                 258       -5.464139e+00       -5.472110e+00        1.396148e-03
                 259       -5.464139e+00       -5.472080e+00        1.391097e-03
                 260       -5.463492e+00       -5.472047e+00        1.386139e-03
                 261       -5.463492e+00       -5.472014e+00        1.381215e-03
                 262       -5.463168e+00       -5.471980e+00        1.376356e-03
                 263       -5.463168e+00       -5.471947e+00        1.371531e-03
                 264       -5.463816e+00       -5.471916e+00        1.366681e-03
                 265       -5.464139e+00       -5.471886e+00        1.361839e-03
                 266       -5.464463e+00       -5.471859e+00        1.357005e-03
                 267       -5.464463e+00       -5.471831e+00        1.352205e-03
                 268       -5.464463e+00       -5.471803e+00        1.347439e-03
                 269       -5.464463e+00       -5.471776e+00        1.342707e-03
                 270       -5.464139e+00       -5.471748e+00        1.338031e-03
                 271       -5.463815e+00       -5.471718e+00        1.333414e-03
                 272       -5.464462e+00       -5.471692e+00        1.328779e-03
                 273       -5.464462e+00       -5.471665e+00        1.324175e-03
                 274       -5.464138e+00       -5.471638e+00        1.319628e-03
                 275       -5.463815e+00       -5.471609e+00        1.315136e-03
                 276       -5.464138e+00       -5.471582e+00        1.310649e-03
                 277       -5.464463e+00       -5.471557e+00        1.306170e-03
                 278       -5.464463e+00       -5.471531e+00        1.301720e-03
                 279       -5.465111e+00       -5.471508e+00        1.297258e-03
                 280       -5.465435e+00       -5.471486e+00        1.292806e-03
                 281       -5.465435e+00       -5.471465e+00        1.288385e-03
                 282       -5.465435e+00       -5.471443e+00        1.283994e-03
                 283       -5.464787e+00       -5.471420e+00        1.279672e-03
                 284       -5.464788e+00       -5.471397e+00        1.275379e-03
                 285       -5.464464e+00       -5.471372e+00        1.271136e-03
                 286       -5.464464e+00       -5.471348e+00        1.266921e-03
                 287       -5.464788e+00       -5.471325e+00        1.262713e-03
                 288       -5.465112e+00       -5.471304e+00        1.258513e-03
                 289       -5.465112e+00       -5.471282e+00        1.254340e-03
                 290       -5.465759e+00       -5.471263e+00        1.250160e-03
                 291       -5.466407e+00       -5.471247e+00        1.245975e-03
                 292       -5.466731e+00       -5.471231e+00        1.241804e-03
                 293       -5.467055e+00       -5.471217e+00        1.237647e-03
                 294       -5.466083e+00       -5.471199e+00        1.233561e-03
                 295       -5.466083e+00       -5.471182e+00        1.229501e-03
                 296       -5.465759e+00       -5.471164e+00        1.225484e-03
                 297       -5.465435e+00       -5.471144e+00        1.221510e-03
                 298       -5.465759e+00       -5.471126e+00        1.217544e-03
                 299       -5.465112e+00       -5.471106e+00        1.213638e-03
                 300       -5.465112e+00       -5.471086e+00        1.209757e-03
                 301       -5.464788e+00       -5.471065e+00        1.205919e-03
                 302       -5.464789e+00       -5.471045e+00        1.202105e-03
                 303       -5.464466e+00       -5.471023e+00        1.198334e-03
                 304       -5.464466e+00       -5.471001e+00        1.194586e-03
                 305       -5.464142e+00       -5.470979e+00        1.190881e-03
                 306       -5.464142e+00       -5.470956e+00        1.187199e-03
                 307       -5.463819e+00       -5.470933e+00        1.183559e-03
                 308       -5.464143e+00       -5.470911e+00        1.179922e-03
                 309       -5.463172e+00       -5.470886e+00        1.176369e-03
                 310       -5.463172e+00       -5.470861e+00        1.172838e-03
                 311       -5.463496e+00       -5.470838e+00        1.169306e-03
                 312       -5.463496e+00       -5.470814e+00        1.165794e-03
                 313       -5.463172e+00       -5.470790e+00        1.162326e-03
                 314       -5.463172e+00       -5.470765e+00        1.158877e-03
                 315       -5.463496e+00       -5.470742e+00        1.155428e-03
                 316       -5.463172e+00       -5.470718e+00        1.152020e-03
                 317       -5.463172e+00       -5.470694e+00        1.148632e-03
                 318       -5.462524e+00       -5.470669e+00        1.145307e-03
                 319       -5.462524e+00       -5.470643e+00        1.142001e-03
                 320       -5.462200e+00       -5.470617e+00        1.138737e-03
                 321       -5.461877e+00       -5.470590e+00        1.135515e-03
                 322       -5.461877e+00       -5.470563e+00        1.132311e-03
                 323       -5.462200e+00       -5.470537e+00        1.129101e-03
                 324       -5.462848e+00       -5.470513e+00        1.125866e-03
                 325       -5.462524e+00       -5.470488e+00        1.122670e-03
                 326       -5.462524e+00       -5.470464e+00        1.119492e-03
                 327       -5.462848e+00       -5.470441e+00        1.116311e-03
                 328       -5.463172e+00       -5.470418e+00        1.113127e-03
                 329       -5.462848e+00       -5.470395e+00        1.109981e-03
                 330       -5.463495e+00       -5.470375e+00        1.106815e-03
                 331       -5.463172e+00       -5.470353e+00        1.103685e-03
                 332       -5.462848e+00       -5.470330e+00        1.100592e-03
                 333       -5.462848e+00       -5.470308e+00        1.097516e-03
                 334       -5.462848e+00       -5.470285e+00        1.094457e-03
                 335       -5.462525e+00       -5.470262e+00        1.091436e-03
                 336       -5.462201e+00       -5.470238e+00        1.088451e-03
                 337       -5.461230e+00       -5.470212e+00        1.085549e-03
                 338       -5.461877e+00       -5.470187e+00        1.082618e-03
                 339       -5.461554e+00       -5.470161e+00        1.079723e-03
                 340       -5.460906e+00       -5.470134e+00        1.076891e-03
                 341       -5.460906e+00       -5.470107e+00        1.074073e-03
                 342       -5.460907e+00       -5.470080e+00        1.071269e-03
                 343       -5.459935e+00       -5.470051e+00        1.068554e-03
                 344       -5.459935e+00       -5.470021e+00        1.065852e-03
                 345       -5.459935e+00       -5.469992e+00        1.063164e-03
                 346       -5.459935e+00       -5.469963e+00        1.060488e-03
                 347       -5.459612e+00       -5.469933e+00        1.057852e-03
                 348       -5.459935e+00       -5.469904e+00        1.055202e-03
                 349       -5.459287e+00       -5.469874e+00        1.052617e-03
                 350       -5.459287e+00       -5.469844e+00        1.050044e-03
                 351       -5.458963e+00       -5.469813e+00        1.047510e-03
                 352       -5.458639e+00       -5.469781e+00        1.045015e-03
                 353       -5.458640e+00       -5.469749e+00        1.042531e-03
                 354       -5.458639e+00       -5.469718e+00        1.040058e-03
                 355       -5.458963e+00       -5.469688e+00        1.037569e-03
                 356       -5.458963e+00       -5.469658e+00        1.035092e-03
                 357       -5.459611e+00       -5.469629e+00        1.032575e-03
                 358       -5.459611e+00       -5.469601e+00        1.030070e-03
                 359       -5.460582e+00       -5.469576e+00        1.027507e-03
                 360       -5.460906e+00       -5.469552e+00        1.024935e-03
                 361       -5.461230e+00       -5.469529e+00        1.022355e-03
