           beta           mean          sigma           E           errE
          43.55       0.640746       0.664198      -0.361866     0.00158358
        43.7678       0.637932       0.663708      -0.357778     0.00170566
        43.9866       0.635677       0.656168      -0.360383     0.00162917
        44.2065       0.632093        0.65324      -0.355699     0.00134959
        44.4276       0.633967       0.655031      -0.358843     0.00161665
        44.6497       0.633851       0.655287      -0.356813     0.00171517
        44.8729       0.642946       0.650436      -0.363608     0.00167395
        45.0973       0.649445       0.644801      -0.370138     0.00168859
        45.3228       0.653464       0.650854      -0.372837     0.00148319
        45.5494       0.648749       0.652634      -0.369253     0.00146298
        45.7772       0.658118       0.652852      -0.378112     0.00149428
         46.006       0.651297       0.658442      -0.373248     0.00171421
        46.2361       0.645438       0.665021      -0.367201     0.00166791
        46.4673       0.655272       0.669613      -0.376193     0.00163101
        46.6996       0.648101       0.662304      -0.369532     0.00167843
        46.9331       0.651295       0.666504      -0.371127     0.00169438
        47.1678       0.647681       0.658038      -0.367979     0.00150129
        47.4036       0.652301       0.666557      -0.373905     0.00167976
        47.6406       0.660409       0.669512      -0.375377     0.00156385
        47.8788       0.669145       0.669631      -0.381806     0.00149827
        48.1182       0.675023       0.667229      -0.386735      0.0014862
        48.3588       0.684254       0.660806      -0.393845     0.00145035
        48.6006        0.68606        0.65237      -0.397007     0.00118757
        48.8436       0.679715       0.652853      -0.394126     0.00143255
        49.0878       0.689189       0.655468      -0.399728     0.00155021
        49.3333       0.693775       0.655012      -0.402035     0.00144438
        49.5799       0.696131       0.660054      -0.403138     0.00146874
        49.8278       0.697979         0.6516      -0.406441     0.00120377
        50.3273        0.70289         0.6513      -0.408811     0.00128083
         50.579       0.694461        0.64928      -0.405309      0.0012746
        50.8319        0.69464       0.656466      -0.402557     0.00128677
         51.086        0.69813       0.665336      -0.402651     0.00140118
        51.3415       0.698921       0.667617      -0.402726     0.00138733
        51.5982       0.699272       0.673632      -0.403655     0.00141526
        52.1154       0.694852        0.67391      -0.397421     0.00136589
         52.376       0.704289       0.682537      -0.399154     0.00142669
        52.6379       0.699984       0.687453      -0.395887     0.00171691
        52.9011       0.705411       0.694032      -0.393625     0.00186248
        53.1656       0.695503       0.691694      -0.389572     0.00183239
        53.4314       0.697514       0.683286      -0.391455     0.00170936
        53.6986       0.691206       0.675906      -0.396311     0.00163708
        53.9671       0.699569       0.667715      -0.403024     0.00149929
        54.2369       0.692041        0.66834      -0.396171     0.00163401
        54.5081       0.694708       0.668877      -0.400192     0.00151372
        54.7806       0.696318       0.670581      -0.397088     0.00162917
        55.0545       0.701541       0.675829      -0.400123     0.00143418
        55.3298       0.705476       0.680076      -0.403286     0.00147757
        55.6065       0.711961       0.684985      -0.402836     0.00169771
        55.8845       0.702085       0.692153      -0.396379     0.00158454
        56.1639       0.703387       0.696056      -0.393817     0.00162061
        56.4447       0.713098       0.694012      -0.398782     0.00149954
         56.727       0.707414       0.702448      -0.393813     0.00187828
        57.0106        0.70503       0.703143      -0.391621     0.00177968
        57.2956       0.707353       0.711253       -0.38525     0.00197429
        57.5821       0.716602       0.709655      -0.391041     0.00204842
          57.87       0.716059       0.708538       -0.39199     0.00201639
        58.1594       0.708181       0.716371      -0.383723     0.00200131
        58.7424       0.707799       0.719728      -0.382584     0.00200013
        59.0361       0.703936        0.72098      -0.379152     0.00214366
        59.3313       0.711685       0.719028      -0.387286     0.00192317
         59.628        0.70819       0.724757      -0.377895     0.00238821
        59.9261       0.708071       0.723668      -0.380424      0.0021527
        60.2258        0.70589        0.73033      -0.376496     0.00236126
        60.5269       0.697135        0.72486      -0.377617     0.00204251
        61.1337       0.695316       0.728959      -0.374054      0.0021203
        61.4393       0.690175       0.725156      -0.376127     0.00199794
        61.7465       0.686093        0.73096        -0.3717     0.00214978
        62.0553       0.683104       0.731817      -0.371085      0.0018923
        62.3655       0.680354       0.737797      -0.364122     0.00227583
        62.6774       0.681854       0.735102      -0.368848     0.00221987
        63.3057       0.676954       0.731231      -0.367349     0.00205332
        63.9403       0.678488       0.728274      -0.369514     0.00219049
          64.26       0.685349       0.730189      -0.369221     0.00216578
        64.5813       0.694528       0.723145      -0.377747     0.00178115
        64.9043       0.688048       0.725952      -0.371414     0.00184354
        65.2288       0.683444       0.730834      -0.368889     0.00197926
        65.5549       0.693078       0.728167      -0.375048     0.00201655
        65.8827       0.694223       0.737322      -0.368852     0.00235012
        66.2121       0.700269       0.743786      -0.368614     0.00237483
        66.5432        0.69627       0.742602      -0.365447     0.00217801
        66.8759       0.699821       0.737512      -0.370558     0.00194578
        67.2103       0.695146       0.729379      -0.370225     0.00226747
        67.5463       0.697993       0.738185      -0.366389     0.00235001
         67.884       0.694414       0.733493      -0.371755     0.00214463
        68.2235       0.687184       0.726423      -0.371775     0.00250121
        68.5646       0.695355       0.719401      -0.380179     0.00206098
        68.9074       0.699471       0.713541      -0.383659     0.00180467
        69.2519       0.698842       0.723471      -0.380572     0.00188283
        69.5982       0.695353       0.716393      -0.381223     0.00178031
        69.9462        0.68968       0.725584      -0.373731     0.00198118
        70.2959       0.690981       0.731308      -0.370525     0.00247075
        70.6474       0.685977        0.73327      -0.369578     0.00203901
        71.0006       0.676352       0.736267      -0.366545     0.00224801
        71.3556       0.684507        0.72835      -0.373214     0.00225958
        71.7124       0.687668       0.720458      -0.375284     0.00200821
         72.071       0.679513       0.728468      -0.366817      0.0021363
        72.4313       0.678044       0.729755      -0.367597      0.0022183
        72.7935       0.671449       0.732371      -0.365753     0.00217247
        73.1575       0.673577       0.727059      -0.365368      0.0020506
        73.5233       0.676318       0.728385      -0.368054     0.00215483
        73.8909       0.684709       0.719247      -0.377204     0.00187936
        74.2603       0.693221       0.721077      -0.373147     0.00227107
        74.6316       0.695668       0.718109      -0.382461     0.00214192
        75.0048       0.696658       0.714898      -0.378279       0.002135
        75.3798       0.689628       0.706494      -0.383166     0.00213688
        75.7567       0.682432       0.713244      -0.376555     0.00213384
        76.1355       0.676969       0.714698      -0.374881     0.00190754
