#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                 315            -7.44141            -7.54762          0.00496531
                 316            -7.55402            -7.54764          0.00494963
                 317            -7.53064            -7.54759          0.00493431
                 318            -7.52048             -7.5475          0.00491953
                 319            -7.48393             -7.5473          0.00490814
                 320             -7.4382            -7.54696          0.00490463
                 321            -7.42859            -7.54659           0.0049032
                 322            -7.39309            -7.54611          0.00491109
                 323            -7.46131            -7.54585           0.0049029
                 324            -7.46042            -7.54559          0.00489485
                 325            -7.43493            -7.54525          0.00489162
                 326            -7.45907            -7.54498          0.00488375
                 327            -7.48793            -7.54481          0.00487193
                 328             -7.4534            -7.54453          0.00486504
                 329             -7.5049            -7.54441          0.00485175
                 330            -7.45207            -7.54413          0.00484511
                 331            -7.57858            -7.54423          0.00483159
                 332            -7.59283            -7.54438          0.00481925
                 333            -7.59544            -7.54453          0.00480722
                 334            -7.61647            -7.54475          0.00479765
                 335            -7.57294            -7.54483          0.00478406
                 336            -7.58346            -7.54495          0.00477121
                 337            -7.48868            -7.54478          0.00475997
                 338            -7.39696            -7.54434          0.00476593
                 339            -7.47374            -7.54414          0.00475643
                 340            -7.52256            -7.54407          0.00474286
                 341            -7.58187            -7.54418          0.00473025
                 342            -7.50692            -7.54407          0.00471767
                 343            -7.47607            -7.54388          0.00470808
                 344            -7.54327            -7.54387          0.00469439
                 345            -7.50636            -7.54377          0.00468204
                 346            -7.54672            -7.54377          0.00466852
                 347            -7.61086            -7.54397          0.00465907
                 348            -7.58598            -7.54409          0.00464724
                 349            -7.51116            -7.54399          0.00463488
                 350            -7.57808            -7.54409          0.00462266
                 351             -7.5551            -7.54412           0.0046096
                 352            -7.55516            -7.54415          0.00459661
                 353            -7.60949            -7.54434          0.00458732
                 354            -7.60721            -7.54452          0.00457779
                 355            -7.59599            -7.54466          0.00456719
                 356            -7.53686            -7.54464          0.00455442
                 357              -7.545            -7.54464          0.00454166
                 358            -7.55826            -7.54468          0.00452913
                 359             -7.5019            -7.54456          0.00451808
                 360            -7.53213            -7.54452          0.00450567
                 361            -7.55063            -7.54454          0.00449322
                 362            -7.61706            -7.54474          0.00448527
                 363            -7.55879            -7.54478          0.00447308
                 364            -7.58401            -7.54489          0.00446209
                 365            -7.58442              -7.545          0.00445118
                 366             -7.6094            -7.54517          0.00444249
                 367            -7.55508             -7.5452          0.00443047
                 368            -7.62319            -7.54541           0.0044235
                 369            -7.63032            -7.54564          0.00441749
                 370            -7.61149            -7.54582          0.00440913
                 371            -7.61918            -7.54602          0.00440168
                 372             -7.6034            -7.54617          0.00439255
                 373            -7.54125            -7.54616          0.00438079
                 374            -7.54734            -7.54616          0.00436908
                 375            -7.58354            -7.54626          0.00435857
                 376             -7.5265            -7.54621          0.00434729
                 377            -7.53619            -7.54618          0.00433584
                 378             -7.5049            -7.54607          0.00432575
                 379            -7.42209            -7.54575          0.00432669
                 380            -7.47552            -7.54556          0.00431925
                 381            -7.49929            -7.54544          0.00430962
                 382            -7.55861            -7.54547          0.00429847
                 383            -7.57321            -7.54555          0.00428786
                 384             -7.6109            -7.54572          0.00428007
                 385            -7.53072            -7.54568          0.00426913
                 386            -7.57427            -7.54575          0.00425871
                 387             -7.5396            -7.54574          0.00424774
                 388            -7.59505            -7.54586          0.00423869
                 389            -7.56178             -7.5459          0.00422799
                 390            -7.58068            -7.54599          0.00421809
                 391            -7.61651            -7.54617          0.00421116
                 392            -7.63003            -7.54639          0.00420584
                 393            -7.70105            -7.54678          0.00421351
                 394             -7.6012            -7.54692          0.00420508
                 395            -7.56683            -7.54697          0.00419474
                 396            -7.58179            -7.54706          0.00418507
                 397            -7.63415            -7.54728          0.00418027
                 398            -7.57151            -7.54734          0.00417021
                 399            -7.62458            -7.54753          0.00416425
                 400            -7.66525            -7.54783          0.00416423
                 401            -7.56983            -7.54788           0.0041542
                 402            -7.57015            -7.54794          0.00414424
                 403            -7.58745            -7.54803          0.00413512
                 404            -7.47558            -7.54785          0.00412877
                 405            -7.46708            -7.54766          0.00412339
                 406            -7.45046            -7.54742          0.00412018
                 407            -7.41074            -7.54708          0.00412371
                 408            -7.48178            -7.54692          0.00411671
                 409            -7.41935            -7.54661          0.00411844
                 410            -7.48318            -7.54645           0.0041113
                 411            -7.52054            -7.54639          0.00410178
                 412            -7.54834            -7.54639          0.00409183
                 413            -7.57791            -7.54647          0.00408264
                 414             -7.5548            -7.54649          0.00407282
                 415            -7.58935            -7.54659          0.00406432
                 416            -7.62221            -7.54678          0.00405861
                 417             -7.6201            -7.54695          0.00405269
                 418            -7.54065            -7.54694          0.00404302
                 419            -7.54502            -7.54693          0.00403337
                 420            -7.51134            -7.54685          0.00402466
                 421            -7.52384            -7.54679          0.00401547
                 422            -7.49339            -7.54667          0.00400795
                 423            -7.54103            -7.54665          0.00399849
                 424            -7.49857            -7.54654          0.00399067
                 425            -7.57022             -7.5466          0.00398167
                 426            -7.56945            -7.54665          0.00397269
                 427            -7.53899            -7.54663          0.00396342
                 428            -7.53273             -7.5466           0.0039543
                 429            -7.44144            -7.54635          0.00395267
                 430            -7.43261            -7.54609          0.00395232
                 431            -7.49093            -7.54596          0.00394522
                 432            -7.53299            -7.54593           0.0039362
                 433            -7.46033            -7.54573          0.00393207
                 434            -7.55938            -7.54576          0.00392314
                 435            -7.64473            -7.54599          0.00392071
                 436             -7.6648            -7.54626          0.00392118
                 437            -7.76406            -7.54676          0.00394375
                 438            -7.77266            -7.54728          0.00396832
                 439            -7.81495            -7.54789          0.00400585
                 440            -7.72029            -7.54828          0.00401587
                 441            -7.70869            -7.54864           0.0040232
                 442            -7.65237            -7.54888          0.00402094
                 443            -7.63785            -7.54908          0.00401687
                 444             -7.6046             -7.5492          0.00400977
                 445              -7.594            -7.54931          0.00400202
