#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                 203       -6.316060e+00       -6.342535e+00        5.606845e-03
                 204       -6.250209e+00       -6.342083e+00        5.597597e-03
                 205       -6.296168e+00       -6.341859e+00        5.574771e-03
                 206       -6.297308e+00       -6.341642e+00        5.551902e-03
                 207       -6.318118e+00       -6.341529e+00        5.526244e-03
                 208       -6.249813e+00       -6.341088e+00        5.517239e-03
                 209       -6.281590e+00       -6.340803e+00        5.498180e-03
                 210       -6.225058e+00       -6.340252e+00        5.499555e-03
                 211       -6.244797e+00       -6.339800e+00        5.492066e-03
                 212       -6.265989e+00       -6.339451e+00        5.477185e-03
                 213       -6.366584e+00       -6.339579e+00        5.452951e-03
                 214       -6.403574e+00       -6.339878e+00        5.435664e-03
                 215       -6.358034e+00       -6.339962e+00        5.411038e-03
                 216       -6.352201e+00       -6.340019e+00        5.386283e-03
                 217       -6.453047e+00       -6.340540e+00        5.386587e-03
                 218       -6.508988e+00       -6.341312e+00        5.417016e-03
                 219       -6.467178e+00       -6.341887e+00        5.422684e-03
                 220       -6.473577e+00       -6.342486e+00        5.430973e-03
                 221       -6.419729e+00       -6.342835e+00        5.417634e-03
                 222       -6.422805e+00       -6.343196e+00        5.405192e-03
                 223       -6.501577e+00       -6.343906e+00        5.427415e-03
                 224       -6.420517e+00       -6.344248e+00        5.413951e-03
                 225       -6.477244e+00       -6.344839e+00        5.422060e-03
                 226       -6.405559e+00       -6.345108e+00        5.404721e-03
                 227       -6.371380e+00       -6.345223e+00        5.382151e-03
                 228       -6.387791e+00       -6.345410e+00        5.361782e-03
                 229       -6.397440e+00       -6.345637e+00        5.343180e-03
                 230       -6.357320e+00       -6.345688e+00        5.320191e-03
                 231       -6.321244e+00       -6.345582e+00        5.298212e-03
                 232       -6.348518e+00       -6.345595e+00        5.275390e-03
                 233       -6.410817e+00       -6.345875e+00        5.260170e-03
                 234       -6.443067e+00       -6.346290e+00        5.254063e-03
                 235       -6.291437e+00       -6.346057e+00        5.236888e-03
                 236       -6.294135e+00       -6.345837e+00        5.219317e-03
                 237       -6.286028e+00       -6.345584e+00        5.203392e-03
                 238       -6.281929e+00       -6.345317e+00        5.188398e-03
                 239       -6.142110e+00       -6.344467e+00        5.235891e-03
                 240       -6.148449e+00       -6.343650e+00        5.277392e-03
                 241       -6.122591e+00       -6.342733e+00        5.334612e-03
                 242       -6.181065e+00       -6.342065e+00        5.354234e-03
                 243       -6.116133e+00       -6.341135e+00        5.412324e-03
                 244       -6.141174e+00       -6.340315e+00        5.451833e-03
                 245       -6.144540e+00       -6.339516e+00        5.487830e-03
                 246       -6.226994e+00       -6.339059e+00        5.484551e-03
                 247       -6.261646e+00       -6.338745e+00        5.471294e-03
                 248       -6.260607e+00       -6.338430e+00        5.458297e-03
                 249       -6.193701e+00       -6.337849e+00        5.467236e-03
                 250       -6.233957e+00       -6.337433e+00        5.461137e-03
                 251       -6.320982e+00       -6.337368e+00        5.439773e-03
                 252       -6.291991e+00       -6.337188e+00        5.421166e-03
                 253       -6.325100e+00       -6.337140e+00        5.399949e-03
                 254       -6.261941e+00       -6.336844e+00        5.386800e-03
                 255       -6.286887e+00       -6.336648e+00        5.369236e-03
                 256       -6.311414e+00       -6.336550e+00        5.349167e-03
                 257       -6.226041e+00       -6.336120e+00        5.345608e-03
                 258       -6.311626e+00       -6.336025e+00        5.325731e-03
                 259       -6.265733e+00       -6.335753e+00        5.312079e-03
                 260       -6.254917e+00       -6.335442e+00        5.300739e-03
                 261       -6.276594e+00       -6.335217e+00        5.285223e-03
                 262       -6.226666e+00       -6.334803e+00        5.281265e-03
                 263       -6.284819e+00       -6.334612e+00        5.264603e-03
                 264       -6.253784e+00       -6.334306e+00        5.253556e-03
                 265       -6.290532e+00       -6.334141e+00        5.236328e-03
                 266       -6.316732e+00       -6.334076e+00        5.217051e-03
                 267       -6.373155e+00       -6.334222e+00        5.199565e-03
                 268       -6.397905e+00       -6.334460e+00        5.185590e-03
                 269       -6.479262e+00       -6.334998e+00        5.194177e-03
