#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                 286        7.677812e+00        7.793499e+00        2.882018e-02
                 287        7.509003e+00        7.792507e+00        2.873681e-02
                 288        7.341518e+00        7.790941e+00        2.867966e-02
                 289        7.157221e+00        7.788749e+00        2.866413e-02
                 290        7.209694e+00        7.786752e+00        2.863475e-02
                 291        7.343367e+00        7.785228e+00        2.857686e-02
                 292        7.204277e+00        7.783239e+00        2.854816e-02
                 293        7.396416e+00        7.781918e+00        2.848124e-02
                 294        7.651398e+00        7.781474e+00        2.838783e-02
                 295        7.562973e+00        7.780734e+00        2.830126e-02
                 296        7.718189e+00        7.780522e+00        2.820643e-02
                 297        7.373534e+00        7.779152e+00        2.814473e-02
                 298        7.175029e+00        7.777125e+00        2.812320e-02
                 299        6.540826e+00        7.772990e+00        2.833147e-02
                 300        6.735717e+00        7.769532e+00        2.844723e-02
                 301        6.871776e+00        7.766550e+00        2.850865e-02
                 302        7.085681e+00        7.764295e+00        2.850326e-02
                 303        7.095609e+00        7.762088e+00        2.849449e-02
                 304        7.082447e+00        7.759853e+00        2.848833e-02
                 305        7.302152e+00        7.758352e+00        2.843442e-02
                 306        7.252993e+00        7.756701e+00        2.838942e-02
                 307        7.468681e+00        7.755762e+00        2.831244e-02
                 308        7.621888e+00        7.755328e+00        2.822386e-02
                 309        7.693081e+00        7.755126e+00        2.813324e-02
                 310        7.508481e+00        7.754331e+00        2.805373e-02
                 311        7.647829e+00        7.753988e+00        2.796562e-02
                 312        7.883147e+00        7.754402e+00        2.787905e-02
                 313        7.786118e+00        7.754504e+00        2.779016e-02
                 314        8.104438e+00        7.755618e+00        2.772399e-02
                 315        8.305388e+00        7.757363e+00        2.769086e-02
                 316        7.689302e+00        7.757148e+00        2.760407e-02
                 317        7.839855e+00        7.757409e+00        2.751822e-02
                 318        7.903228e+00        7.757867e+00        2.743551e-02
                 319        8.128780e+00        7.759030e+00        2.737413e-02
                 320        8.377977e+00        7.760964e+00        2.735684e-02
                 321        8.410673e+00        7.762988e+00        2.734638e-02
                 322        8.558922e+00        7.765460e+00        2.737294e-02
                 323        8.186872e+00        7.766765e+00        2.731927e-02
                 324        8.222913e+00        7.768173e+00        2.727121e-02
                 325        8.373398e+00        7.770035e+00        2.725080e-02
                 326        8.268306e+00        7.771563e+00        2.721004e-02
                 327        8.081448e+00        7.772511e+00        2.714333e-02
                 328        8.265014e+00        7.774013e+00        2.710207e-02
                 329        8.008281e+00        7.774725e+00        2.702905e-02
                 330        8.270117e+00        7.776226e+00        2.698880e-02
                 331        7.600539e+00        7.775695e+00        2.691248e-02
                 332        7.534449e+00        7.774968e+00        2.684123e-02
                 333        7.512248e+00        7.774179e+00        2.677221e-02
                 334        7.399644e+00        7.773058e+00        2.671553e-02
                 335        7.642852e+00        7.772669e+00        2.663861e-02
                 336        7.586220e+00        7.772115e+00        2.656511e-02
                 337        8.129882e+00        7.773176e+00        2.650749e-02
                 338        8.612085e+00        7.775658e+00        2.654500e-02
                 339        8.196935e+00        7.776901e+00        2.649577e-02
                 340        7.943041e+00        7.777389e+00        2.642235e-02
                 341        7.620737e+00        7.776930e+00        2.634886e-02
                 342        8.044771e+00        7.777713e+00        2.628345e-02
                 343        8.217154e+00        7.778994e+00        2.623803e-02
                 344        7.828758e+00        7.779139e+00        2.616215e-02
