#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                 312          -0.0342945          -0.0326158         4.13037e-05
                 313          -0.0343117          -0.0326212         4.15256e-05
                 314           -0.034329          -0.0326267          4.1748e-05
                 315          -0.0343487          -0.0326321         4.19718e-05
                 316          -0.0343685          -0.0326376         4.21971e-05
                 317          -0.0343859          -0.0326432         4.24229e-05
                 318          -0.0344011          -0.0326487         4.26482e-05
                 319          -0.0344187          -0.0326542         4.28739e-05
                 320          -0.0344363          -0.0326598         4.31001e-05
                 321           -0.034454          -0.0326654         4.33267e-05
                 322          -0.0344694           -0.032671         4.35529e-05
                 323          -0.0344872          -0.0326766         4.37795e-05
                 324          -0.0345027          -0.0326822         4.40057e-05
                 325          -0.0345206          -0.0326879         4.42323e-05
                 326          -0.0345362          -0.0326936         4.44585e-05
                 327          -0.0345542          -0.0326993         4.46852e-05
                 328            -0.03457           -0.032705         4.49115e-05
                 329          -0.0345905          -0.0327107         4.51391e-05
                 330          -0.0346063          -0.0327164         4.53664e-05
                 331          -0.0346222          -0.0327222         4.55932e-05
                 332          -0.0346429           -0.032728         4.58215e-05
                 333          -0.0346613          -0.0327338         4.60502e-05
                 334          -0.0346774          -0.0327396         4.62786e-05
                 335          -0.0346935          -0.0327454         4.65065e-05
                 336          -0.0347145          -0.0327513         4.67359e-05
                 337          -0.0347307          -0.0327572         4.69648e-05
                 338           -0.034747          -0.0327631         4.71934e-05
                 339          -0.0347634           -0.032769         4.74217e-05
                 340           -0.034787          -0.0327749         4.76522e-05
                 341          -0.0348034          -0.0327809         4.78823e-05
                 342            -0.03482          -0.0327868         4.81121e-05
                 343           -0.034839          -0.0327928         4.83424e-05
                 344          -0.0348556          -0.0327988         4.85724e-05
                 345          -0.0348747          -0.0328048         4.88029e-05
                 346          -0.0348939          -0.0328108         4.90339e-05
                 347          -0.0349155          -0.0328169         4.92663e-05
                 348          -0.0349324           -0.032823         4.94983e-05
                 349          -0.0349517          -0.0328291         4.97309e-05
                 350          -0.0349688          -0.0328352         4.99632e-05
                 351          -0.0349906          -0.0328413         5.01968e-05
                 352          -0.0350101          -0.0328475         5.04309e-05
                 353          -0.0350297          -0.0328537         5.06655e-05
                 354          -0.0350494          -0.0328599         5.09006e-05
                 355          -0.0350667          -0.0328661         5.11354e-05
                 356          -0.0350841          -0.0328723         5.13699e-05
                 357          -0.0351015          -0.0328786         5.16041e-05
                 358          -0.0351238          -0.0328849         5.18396e-05
                 359          -0.0351437          -0.0328911         5.20757e-05
                 360          -0.0351614          -0.0328975         5.23115e-05
                 361          -0.0351791          -0.0329038          5.2547e-05
                 362          -0.0351945          -0.0329101         5.27815e-05
                 363          -0.0352147          -0.0329164         5.30166e-05
                 364           -0.035235          -0.0329228         5.32522e-05
                 365          -0.0352553          -0.0329292         5.34883e-05
                 366          -0.0352781          -0.0329356         5.37258e-05
                 367          -0.0352985          -0.0329421         5.39638e-05
                 368          -0.0353167          -0.0329485         5.42016e-05
                 369          -0.0353349           -0.032955         5.44392e-05
                 370          -0.0353555          -0.0329615         5.46773e-05
                 371          -0.0353739           -0.032968         5.49152e-05
                 372          -0.0353899          -0.0329745         5.51522e-05
                 373          -0.0354084           -0.032981         5.53889e-05
                 374          -0.0354269          -0.0329876         5.56256e-05
                 375          -0.0354478          -0.0329941         5.58628e-05
                 376          -0.0354665          -0.0330007         5.60999e-05
                 377          -0.0354852          -0.0330073         5.63368e-05
                 378           -0.035504          -0.0330139         5.65737e-05
                 379          -0.0355276          -0.0330205         5.68118e-05
                 380          -0.0355512          -0.0330272         5.70513e-05
                 381          -0.0355702          -0.0330338         5.72907e-05
                 382          -0.0355916          -0.0330405         5.75307e-05
                 383          -0.0356107          -0.0330473         5.77705e-05
                 384          -0.0356369           -0.033054         5.80123e-05
                 385          -0.0356562          -0.0330608         5.82541e-05
                 386          -0.0356802          -0.0330675         5.84971e-05
                 387          -0.0357019          -0.0330744         5.87406e-05
                 388          -0.0357213          -0.0330812         5.89841e-05
                 389          -0.0357408           -0.033088         5.92274e-05
                 390          -0.0357651          -0.0330949          5.9472e-05
                 391          -0.0357871          -0.0331018         5.97172e-05
                 392          -0.0358068          -0.0331087         5.99622e-05
                 393          -0.0358266          -0.0331156         6.02071e-05
                 394          -0.0358464          -0.0331225          6.0452e-05
                 395          -0.0358663          -0.0331295         6.06967e-05
                 396           -0.035891          -0.0331364         6.09427e-05
                 397           -0.035911          -0.0331434         6.11886e-05
                 398          -0.0359311          -0.0331504         6.14344e-05
                 399           -0.035956          -0.0331575         6.16815e-05
                 400          -0.0359785          -0.0331645         6.19292e-05
                 401          -0.0359988          -0.0331716         6.21768e-05
                 402          -0.0360192          -0.0331787         6.24243e-05
                 403          -0.0360396          -0.0331858         6.26718e-05
